cluster_number,gamma,eigen_solver,silhouette,davies_bouldin,adjusted_rand_score,homogeneity,completeness,v_measure
2,0.1,lobpcg,0.40673953677950175,0.8695521509901563,-0.05580773028113146,0.01704417327045525,0.017261817990483357,0.017152305237590173
2,1.0,lobpcg,0.4075161877626092,0.857692053832926,-0.05536107135451458,0.016734175514944525,0.01716859606374582,0.016948602518178348
2,10.0,lobpcg,0.44861057066845733,0.4185353137298452,-0.0004938800401483179,7.27372347066184e-05,0.006843885183257012,0.0001439446171260786
3,0.1,lobpcg,0.2153630410422039,1.7243625111797016,-0.009691372390416144,0.08997109156515684,0.023525454964243853,0.03729824258840616
3,1.0,lobpcg,0.29396451371907434,1.1597623238229993,-0.04623588473157767,0.017122957817225833,0.009924741101487411,0.01256601707512212
3,10.0,lobpcg,0.3608091430141265,0.7089630236551333,-0.0014701245632508654,0.0002182714570512912,0.0072065567837279135,0.0004237096397376272
4,0.1,lobpcg,0.24826341711622055,1.5410171998023194,0.009328021448131225,0.08121957940901886,0.014997928168907196,0.025320244694527455
4,1.0,lobpcg,0.23737266588017025,1.5378726959316376,-0.008805153839995248,0.08812671247740406,0.01991490088929384,0.03248812545459003
4,10.0,lobpcg,0.3069665245944824,1.1960186498362024,0.005508473587188086,0.0019109850162743918,0.03826062931521718,0.0036401568894527422
5,0.1,lobpcg,0.26648779283314095,1.417997345440607,0.012218387514916256,0.13193643866676885,0.02076191466120198,0.035877964897485196
5,1.0,lobpcg,0.24436316245855957,1.4399799774944104,-0.007500229117816684,0.09583670777781697,0.019055056516384703,0.03178946540283411
5,10.0,lobpcg,0.28681914233867317,0.6696485453300254,0.005510594641693279,0.0035063567847444977,0.06802926990730428,0.006668981684540253
6,0.1,lobpcg,0.28720527762943304,1.4107193170563679,-0.003564051881480384,0.18555726137713294,0.026135017281477664,0.04581690237852973
6,1.0,lobpcg,0.2550418635593293,1.3286316547252122,-0.013028601045595964,0.045675593526303696,0.008228751168498066,0.013945187376989276
6,10.0,lobpcg,0.27584772921574907,0.5169404610906682,-0.0024322081606084765,0.0003638854227577667,0.006848028051253863,0.0006910503270642926
7,0.1,lobpcg,0.30593427883126867,1.3180187002516477,0.011887438104891306,0.17381427170937386,0.02225961160509959,0.03946510482957639
7,1.0,lobpcg,0.2776637541725079,1.24948157869081,0.00498327083819895,0.09924657299264268,0.01425928874586813,0.024935902334281276
7,10.0,lobpcg,0.2696650973042085,0.5125778997789169,0.005004864901078263,0.0035788682412476905,0.056126967252071745,0.00672868971403857
8,0.1,lobpcg,0.33216952897268864,1.237162314803498,0.0008117014443654139,0.12570411830137218,0.014778002891250166,0.026446864667605673
8,1.0,lobpcg,0.2781447709158393,1.325903848392205,-0.020197334452645495,0.06421259005826967,0.009663945565720066,0.01679956889466016
8,10.0,lobpcg,0.2631129243194076,0.5167776853077217,0.004503191940858736,0.003651399574345219,0.049084534728976156,0.006797158392433324
9,0.1,lobpcg,0.33248326117655147,1.3090721104812135,-0.003323887346307675,0.15162060817523568,0.01763962449791001,0.03160258676378666
9,1.0,lobpcg,0.2535208395102518,1.1441319398232224,-0.014667363423113117,0.04597040060402878,0.007860827989343486,0.013425865290170015
9,10.0,lobpcg,0.21527155979364163,0.5176890900301635,0.01186328038133939,0.006870774719942145,0.08081748337749058,0.012664836404947673
